ID,Assignment ,Description,Date ,Status,File Name
1,Welcome HTML,Implement basic bootstrap example of bootstrap,23/01/2018,Completed,classwork/welcome.html
2,Accordion,Implement concept of Accordion,23/01/2018,Completed,assignment/accordion.html
3,Carousel,Implement concept of Carousel,24/01/2018,Completed,assignment/carousel.html
4,Grid Layout,Implement concept of Grid Layout,24/01/2018,Completed,assignment/grid.html
5,Shopping Cart,Implement basic css in Shopping cart,24/01/2018,Completed,assignment/shoppingcart.html
